index,title,artist,spot_artist,spot_track,spot_album,track_number,release_date,track_uri,-index
374,Slow Motion,Blondie,Blondie,Slow Motion,Eat To The Beat,8,1979-09-28,spotify:track:1J8PgePsTmVm3TAuYnblw6,-374
188,Smokin' in the Boy's Room,Brownsville Station,Brownsville Station,Smokin' in the Boy's Room,Yeah! (US Internet Release),10,1973,spotify:track:1AIGp3gpj1NXJvh3engmUQ,-188
423,So Afraid - Digitally Remastered 2001,The Outlaws,The Outlaws,So Afraid - Digitally Remastered 2001,Hurry Sundown,3,1977,spotify:track:2kBJJ4kdTdnPh5XtlithOD,NA
420,Some Other Time,The Alan Parsons Project,The Alan Parsons Project,Some Other Time,I Robot (Legacy Edition),3,1977-06-01,spotify:track:6YiSW7FjJw36A3pZ7LzMiV,-420
316,Something About You,Boston,Boston,Something About You,Boston,7,1976,spotify:track:1KxNmUInjFsoDFrLaTtpLZ,-316
246,Space Invader - 2006 Remaster,Pretenders,Pretenders,Space Invader - 2006 Remaster,Pretenders,5,1980-01-11,spotify:track:5DowQfDc9HNQsEqBsjIEOR,-246
84,Spaced,Aerosmith,Aerosmith,Spaced,Get Your Wings,3,1974-03-15,spotify:track:7uH4Cj39mhUc907ds3OmZF,-84
NA,spacey romance,no dice,NA,NA,NA,NA,NA,NA,NA
432,"Starship Trooper: a. Life Seeker, b. Disillusion, c. Würm",Yes,Yes,"Starship Trooper: a. Life Seeker, b. Disillusion, c. Würm",The Yes Album (Deluxe Edition),3,1971-02-19,spotify:track:1K75F5lMyhGFqbM8HwWSpS,-432
233,Stay Awhile,Rachel Sweet,Rachel Sweet,Stay Awhile,Fool Around,5,1978-10-06,spotify:track:6latcWpAyrlTwhs2RHsYls,-233
13,Stay in Time - LP & Single Version,Off Broadway,Off Broadway,Stay in Time - LP & Single Version,On,1,1980-01-07,spotify:track:2lHmJewRJLHz9ST1J5Lzcj,-13
352,Stay With Me,The Dictators,The Dictators,Stay With Me,Bloodbrothers,5,2018-07-02,spotify:track:3UgiXDauVuj9HZKzFY8TBL,-352
144,Steppin' Out,The Dictators,The Dictators,Steppin' Out,Manifest Destiny,6,1977,spotify:track:0hkXnF5KhZoviUpQzomOJv,-144
330,Still...You Turn Me On - 2014 Remastered Version,"Emerson, Lake & Palmer","Emerson, Lake & Palmer",Still...You Turn Me On - 2014 Remastered Version,The Anthology,21,2016-07-29,spotify:track:5RhGCgIZpVn4yP3ixrcjff,-330
204,Stop Your Sobbing,Pretenders,Pretenders,Stop Your Sobbing,Soft Rock Alternative,18,2020-07-31,spotify:track:2VDwggNBGtC7rbRWWfyrqe,-204
313,Suffragette City - 2012 Remaster,David Bowie,David Bowie,Suffragette City - 2012 Remaster,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),10,1972-06-06,spotify:track:3YZa4IzxK2UtEKTvdTgsi8,-313
NA,Sugar & Spice,Cryan' Shames,Cryan' Shames,Sugar & Spice,Sugar & Spice (A Collection),1,1992-07-14,spotify:track:3oc2dcOFq4wCuuHhfCoyTg,NA
331,Suite Madame Blue,Styx,Styx,Suite Madame Blue,Greatest Hits,13,1995-01-01,spotify:track:0RTNuBiDbHMCuUvt4FK4hR,-331
92,Sunday Will Never Be The Same,Spanky & Our Gang,Spanky & Our Gang,Sunday Will Never Be The Same,Spanky & Our Gang,4,1967-01-01,spotify:track:42ccaJliexMY66rWpnaGId,-92
166,Sure the Boy Was Green,Horslips,Horslips,Sure the Boy Was Green,Aliens (Bonus Tracks Version),4,2009-12-04,spotify:track:5xkUCucfOfuFwynSVi3eM4,-166
71,Surf City - Remastered 1990/Stereo Remix,Jan & Dean,Jan & Dean,Surf City - Remastered 1990/Stereo Remix,Surf City: The Best Of Jan & Dean,6,1990-01-01,spotify:track:4ZzXPeOfMXk0iKNQGdlzDq,-71
47,Surrender,The J. Geils Band,The J. Geils Band,Surrender,Monkey Island,1,1977-06-09,spotify:track:4dnqrq79RHIb6Ek19nfeRN,-47
NA,T.N.T.,AC/DC,AC/DC,T.N.T.,High Voltage,5,1976-05-14,spotify:track:7LRMbd3LEoV5wZJvXT1Lwb,NA
314,Take It Inside - 2016 Remaster,Southside Johnny And The Asbury Jukes,Southside Johnny And The Asbury Jukes,Take It Inside - 2016 Remaster,Hearts of Stone (Remastered),5,1978-01-01,spotify:track:5v2Qtw3EThbJJGPSF8J5U4,-314
251,Takin' You Down,The J. Geils Band,The J. Geils Band,Takin' You Down,Love Stinks,3,1980,spotify:track:3jB4QwXDuF4K88L2ZmBo1c,-251
