play order,title,artist,track.external_urls.spotify,track.duration_ms,track.popularity,track.track_number,track.uri,track.album.name,track.album.release_date
265,Orgasm Addict - 2001 Remastered Version,Buzzcocks,https://open.spotify.com/track/3K6mPAaaOWaDDR0l0OjhOE,122960,40,1,spotify:track:3K6mPAaaOWaDDR0l0OjhOE,Singles Going Steady,1979
266,Thrash,Cowboys International,https://open.spotify.com/track/1EuvkEmshTrFvQRlkQbDRv,215010,10,2,spotify:track:1EuvkEmshTrFvQRlkQbDRv,The Original Sin,1979-01-01
267,Northern Lights,Renaissance,https://open.spotify.com/track/76GyGS1C84YBtb3qX6j5mk,247200,40,7,spotify:track:76GyGS1C84YBtb3qX6j5mk,A Song for All Seasons,1978-11-06
268,It Takes Time,The Marshall Tucker Band,https://open.spotify.com/track/3okKVZgaeql0vACn0kwMvY,223760,28,9,spotify:track:3okKVZgaeql0vACn0kwMvY,Searchin' for a Rainbow,1975-08-01
269,Fade Away And Radiate,Blondie,https://open.spotify.com/track/7APz1pnCEsvfMhJpnXcfl8,243984,31,4,spotify:track:7APz1pnCEsvfMhJpnXcfl8,Parallel Lines,1978-09-23
270,"Puff, the Magic Dragon","Peter, Paul and Mary",https://open.spotify.com/track/3hqsBLMAqJqrhr434Z7WlA,206866,54,5,spotify:track:3hqsBLMAqJqrhr434Z7WlA,Moving,1963
271,Your Very Eyes,Shoes,https://open.spotify.com/track/0MFuGwMBdNWkAnmZ1Alis7,188760,9,4,spotify:track:0MFuGwMBdNWkAnmZ1Alis7,Present Tense,1979-09-15
272,Rescue Me,Horslips,https://open.spotify.com/track/77VZsF3DsADs4WuEdHQmdZ,203346,8,24,spotify:track:77VZsF3DsADs4WuEdHQmdZ,Treasury - The Very Best of Horslips,2009-11-13
273,Drive the Cold Winter Away,Horslips,https://open.spotify.com/track/0XD8mVBqnyPe4qWvLewA3C,152533,0,5,spotify:track:0XD8mVBqnyPe4qWvLewA3C,Ring Christmas Bells,2013-12-13
274,Fly By Night,Rush,https://open.spotify.com/track/54TaGh2JKs1pO9daXNXI5q,202200,57,5,spotify:track:54TaGh2JKs1pO9daXNXI5q,Fly By Night,1975-02-15
275,Gnostic Serenade,Tom Rush,https://open.spotify.com/track/3A41kUjSU5V4hDKhvpHqVv,296106,9,10,spotify:track:3A41kUjSU5V4hDKhvpHqVv,Wrong End Of The Rainbow,1970
276,Only You Can Rock Me - 2008 Remaster,UFO,https://open.spotify.com/track/2qzQZ23b0SXFwz812P83hn,248520,35,1,spotify:track:2qzQZ23b0SXFwz812P83hn,Obsession (2008 Remaster),1978-07-15
277,Blitzkrieg Bop - 2016 Remaster,Ramones,https://open.spotify.com/track/4KcH1ZRV2W1q7Flq0QqC76,134466,71,1,spotify:track:4KcH1ZRV2W1q7Flq0QqC76,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),1976-04-23
278,Beat on the Brat - 2016 Remaster,Ramones,https://open.spotify.com/track/55mKuESqpfgqe0kooIkTH2,151960,54,2,spotify:track:55mKuESqpfgqe0kooIkTH2,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),1976-04-23
279,Rock Lobster,The B-52's,https://open.spotify.com/track/2Q5wSOwq6BDSu7sSVMNrtT,409400,59,4,spotify:track:2Q5wSOwq6BDSu7sSVMNrtT,The B-52's,1979-07-11
280,New Values,Iggy Pop,https://open.spotify.com/track/5LmqBIugWpgE9OA8jFk4i3,160000,22,2,spotify:track:5LmqBIugWpgE9OA8jFk4i3,New Values,1979-09-01
281,Wake Up And Make Love With Me,Ian Dury,https://open.spotify.com/track/5Du4gwoQvVIPJU73sM2smL,264693,43,1,spotify:track:5Du4gwoQvVIPJU73sM2smL,New Boots and Panties!!,1977-09-30
282,Cruel To Be Kind,Ian Gomm,https://open.spotify.com/track/39nkXj5MMwcyfVRJjXCOFA,192400,0,2,spotify:track:39nkXj5MMwcyfVRJjXCOFA,Crazy For You,1996-01-01
283,52 Girls,The B-52's,https://open.spotify.com/track/0hV8cbzJubHKLSFIsBnYUo,216333,42,2,spotify:track:0hV8cbzJubHKLSFIsBnYUo,The B-52's,1979-07-11
284,Blues Theme - From The Wild Angels,Davie Allan & The Arrows,https://open.spotify.com/track/12hAeEyERydkkb1Wow1xdA,130946,22,1,spotify:track:12hAeEyERydkkb1Wow1xdA,Wild Angels And Other Themes,1993-03-23
285,When I Was Young,Jane Aire & The Belvederes,https://open.spotify.com/track/2YMCBVQsABudlxQGw9zSxJ,168986,2,11,spotify:track:2YMCBVQsABudlxQGw9zSxJ,"Soul Jazz Records Presents Punk 45: Burn, Rubber City, Burn - Akron, Ohio: Punk and the Decline of the Mid-West 1975-80",2015-02-10
286,TV,The Flying Lizards,https://open.spotify.com/track/03x6BSem2COLMnJ1t4rlpl,241386,14,3,spotify:track:03x6BSem2COLMnJ1t4rlpl,The Flying Lizards,1979
287,Don't Touch Me There,The Tubes,https://open.spotify.com/track/47khefI5yEHStaBNhu4GUb,207226,22,5,spotify:track:47khefI5yEHStaBNhu4GUb,Young And Rich,1976-01-01
,10 Feet Tall,XTC,https://open.spotify.com/track/7EREJweyXYJsVO7mGpYV9J?si=0OuKntMtQgyDo2LG9jfivA,197000,,5,spotify:track:7EREJweyXYJsVO7mGpYV9J,Drums and Wires,1979
289,i wanna be sedated,The Ramones,https://open.spotify.com/track/5NoQvINZLBV1wMYPdNmReL?si=F578w524TCuo6C2c2KuOlA,,,7,spotify:track:5NoQvINZLBV1wMYPdNmReL,Road to Ruin,1978
290,revolt into style,bill nelson,,,,,,,
291,Too Late,Shoes,https://open.spotify.com/track/4ExfBQfuuU0v07p428cmLD,163666,19,5,spotify:track:4ExfBQfuuU0v07p428cmLD,35 Years: The Definitive Shoes Collection 1977-2012,2012
292,Jungle Love,Steve Miller Band,https://open.spotify.com/track/1EuqRlDP9RuzeCRVcjr1PY,187600,55,7,spotify:track:1EuqRlDP9RuzeCRVcjr1PY,Book Of Dreams,1977-01-01
293,Can't You See,The Marshall Tucker Band,https://open.spotify.com/track/4AlgqXQ5QA5bsNa6Nmchz7?si=3I64Slx_TVSCqsp_9vfHvA,,,,spotify:track:4AlgqXQ5QA5bsNa6Nmchz7,,
294,Melissa,The Allman Brothers Band,https://open.spotify.com/track/30St98Bok3jJmXdkkHVPQe,235223,63,3,spotify:track:30St98Bok3jJmXdkkHVPQe,Eat A Peach,1972-02-12
295,Suffragette City - 2012 Remaster,David Bowie,https://open.spotify.com/track/3YZa4IzxK2UtEKTvdTgsi8,208413,59,10,spotify:track:3YZa4IzxK2UtEKTvdTgsi8,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),1972-06-06
296,Take It Inside - 2016 Remaster,Southside Johnny And The Asbury Jukes,https://open.spotify.com/track/5v2Qtw3EThbJJGPSF8J5U4,195080,15,5,spotify:track:5v2Qtw3EThbJJGPSF8J5U4,Hearts of Stone (Remastered),1978-01-01
297,Roll Away the Stone,Mott The Hoople,https://open.spotify.com/track/7cQXdm6y9KE8n1Lw2z75Ey,188973,42,9,spotify:track:7cQXdm6y9KE8n1Lw2z75Ey,The Hoople,1974
298,Something About You,Boston,https://open.spotify.com/track/1KxNmUInjFsoDFrLaTtpLZ,227906,49,7,spotify:track:1KxNmUInjFsoDFrLaTtpLZ,Boston,1976
299,Hot Patootie (Bless My Soul),The Rocky Horror Show Original Cast,https://open.spotify.com/track/6Ga584DDPJ4GNo6EgiDYkw,126253,14,8,spotify:track:6Ga584DDPJ4GNo6EgiDYkw,Let's Do The Time Warp Again!,2006-11-27
300,The Phone,The Records,,,,,,The Records,1979
301,The Wall Street Shuffle,10cc,https://open.spotify.com/track/3HyZGwZAq9oQJQBzSyjs7Q,241572,46,19,spotify:track:3HyZGwZAq9oQJQBzSyjs7Q,The Complete UK Recordings,2004-01-01
302,Here Comes My Girl,Tom Petty and the Heartbreakers,https://open.spotify.com/track/685sEpLJe80Zzuxz3siOVT,264453,55,2,spotify:track:685sEpLJe80Zzuxz3siOVT,Damn The Torpedoes (Deluxe Edition),1979-10-19
303,I Like To Rock,April Wine,https://open.spotify.com/track/17sn00z8VEiRJuW6eJrlSq,262826,43,1,spotify:track:17sn00z8VEiRJuW6eJrlSq,Harder . . . Faster,1979-01-01
304,The Spirit Of Radio,Rush,https://open.spotify.com/track/4e9hUiLsN4mx61ARosFi7p,296466,64,1,spotify:track:4e9hUiLsN4mx61ARosFi7p,Permanent Waves,1980-01-01
